Cromosomas:0.5689318936449548,0.5518757625621674,0.1803705929017987,0.7462342578932685,0.5016335039097841,0.31484279744310373, - Turnos:887 ¿Gana?:true
Cromosomas:0.7292619201321919,0.8040351509509059,0.5535462484029747,0.3550128755626608,0.09854255981449267,0.47579922757633, - Turnos:934 ¿Gana?:true
Cromosomas:0.7540303612664511,0.487654766266036,0.32493143030430605,0.04276687101338317,0.683361588815849,0.4519283645929951, - Turnos:969 ¿Gana?:true
Cromosomas:0.7206348369039031,0.18783424707830731,0.0647411244444186,0.9074743848319952,0.9834758998819698,0.5613649875922226, - Turnos:938 ¿Gana?:false
Cromosomas:0.5570771109765917,0.2233846595314024,0.25803776758266195,0.46837311300286577,0.3052189412843397,0.9659729942932944, - Turnos:1001 ¿Gana?:false
Cromosomas:0.007017777830124361,0.8729333745722963,0.8218228493687673,0.6939655692460944,0.6198718358660457,0.9628110295272284, - Turnos:1005 ¿Gana?:false
Cromosomas:0.23686283919981221,0.3970416428942717,0.6997638453875666,0.0925704194656114,0.47831477020172963,0.9197790111755069, - Turnos:1005 ¿Gana?:false
Cromosomas:0.18187482654482723,0.4574967835313932,0.9819324746572197,0.1329268668340996,0.15279741455850637,0.4527435964278006, - Turnos:1005 ¿Gana?:false
Cromosomas:0.0929567629546636,0.29821458306911497,0.815693613819146,0.39830606262135193,0.10862951349026129,0.5786509722668767, - Turnos:1005 ¿Gana?:false
Cromosomas:0.21145321943615458,0.5708783101905501,0.20021347911957843,0.9086579022074036,0.3117841793940487,0.97707105288178, - Turnos:1005 ¿Gana?:false
